Column1;Thématique;contenu_poste
69;éolienne;"Pour les articles sur les éoliennes: cela sera sans moi: je me suis juré de ne plus jamais contribuer sur les articles liés a l'éolienne après m'être mangé le loby éolien de plein fouet une fois ou deux. De plus, j'ai 2/3 articles sur le feux auquel je n'ai pas touchés depuis 2/3 mois et que j'aimerais bien finir. Yves-Laurent 5 septembre 2007 à 01:09 (CEST)
Merci pour les informations. Je n'avais envisagé que la 2eme possibilité. Un mécanicien comme moi aurait quand même du penser au réglage du réglage du pas de l'hélice...
Je trouve dommage que tu ne veuilles plus toucher aux articles éoliens, mais c'est ton choix. Merci encore, Yves-Laurent. Skiff 5 septembre 2007 à 19:58 (CEST)
je rajouterai qu'on les déconnecte également lorsqu'il y a trop de vent : à la manière des grues de chantier on les met ""en drapeau"", toujours face au vent et le pas au minimum. Sinon +1 pour Yves-Laurent a l'assaut des articles liés à l'éolienne ;) --Zedh msg 5 septembre 2007 à 21:06 (CEST)"
70;éolienne;Merci pour les informations. Je n'avais envisagé que la 2eme possibilité. Un mécanicien comme moi aurait quand même du penser au réglage du réglage du pas de l'hélice...
71;éolienne;"Je trouve dommage que tu ne veuilles plus toucher aux articles éoliens, mais c'est ton choix. Merci encore, Yves-Laurent. Skiff 5 septembre 2007 à 19:58 (CEST)
je rajouterai qu'on les déconnecte également lorsqu'il y a trop de vent : à la manière des grues de chantier on les met ""en drapeau"", toujours face au vent et le pas au minimum. Sinon +1 pour Yves-Laurent a l'assaut des articles liés à l'éolienne ;) --Zedh msg 5 septembre 2007 à 21:06 (CEST)"
72;éolienne;"je rajouterai qu'on les déconnecte également lorsqu'il y a trop de vent : à la manière des grues de chantier on les met ""en drapeau"", toujours face au vent et le pas au minimum. Sinon +1 pour Yves-Laurent a l'assaut des articles liés à l'éolienne ;) --Zedh msg 5 septembre 2007 à 21:06 (CEST)"
73;éolienne;il n'y a que deux moteur qui soit réversible (et peut donc servir de générateur) le moteur asynchrone et les machine a courant continu. Le premier est super rare surtout en petite puissance, le second est rare mais on peut peut-être transformé certains  moteurs universels (moteur qui fonctionne généralement en monophasé) en génératrice DC. Avantage on trouve des moteurs universels partout et de toute puissance : robot de cuisine, foreuse, machine à laver, aspirateur, ...
74;éolienne;"C'est la surface du disque qui doit être prise en compte. Je vais essayer d'expliquer pourquoi.Les éoliennes ""type western"" et celle de ""l'inventeurs"" dont il est question dans cette page, essayent de couvrir toute la surface, comme si chaque molécule d'air passant par cette surface devait toucher les pales de l'éolienne. Comme si les molécules ne touchant pas les pales passaient à travers cette surface sans délivrer d'énergie à l'éolienne. Hors c'est une idée fausse.Les molécules agissent aussi sur les pales par l'intermédiaires des autres molécules (imaginez une foule qui se presse sur un cordon de police par exemple). Donc il suffit que chaque molécule passant dans la surface, soit passée suffisamment près d'une pale à un moment ou à un autre pour avoir transféré une grand part de son énergie cinétique à cette pale (en moyenne 60% pour qu'il leur reste suffisamment d'énergie pour s'éloigner et laisser la place aux molécules suivanntes). Et les pales tournent suffisamment vite pour que ce soit le cas sans qu'elles aient pour autant une surface importante (imaginez les mêmes policiers faisant des moulinets avec leurs matraques qui n'ont pas besoin d'être de gros bâtons). JGh (d) 19 avril 2009 à 12:34 (CEST)[répondre]"
75;éolienne;"Citer ce type ""d'éolienne"" dans les éoliennes à axe verticaux ressemble plus à de la publicité qu'à de la science. De plus, son principe est basé sur rien de concret."
76;éolienne;"En effet d'après ""l'inventeur"" :"
77;éolienne;"""Cette invention est partie d'un constat très simple en regardant une éolienne classique (...), on s'aperçoit que la quasi totalité du vent passe entre les pales et ne se transforme pas en énergie. Seul le vent touchant les pales se transformera en énergie. Alors que sur un  voilier toutes voiles dehors, la quasi-totalité du vent est capté et se transformera par conséquent en énergie. C'est ce procédé que nous allons exploité"""
78;éolienne;"Voici un  constat plein de sens. En effet le but d'une éolienne n'a jamais été de capter et d'arrêter ""tout"" le vent mais juste de le ralentir. En effet, imaginons un m3 d'air se déplaçant à une vitesse initial de 10 m/s et étant bloqué par une voile."
79;éolienne;Il faut de l'énergie pour se débarrasser de ce m3 d'air afin de capter le m3 suivant. En conclusion, la voile n'a jamais été une manière optimale de produire de l'énergie. L'inventeur prétend remettre en cause les lois de Betz et n'a visiblement rien compris à l'énergie éolienne.
80;éolienne;Mon conseil est de supprimer le lien vers ce produit qui n'a aucune chance d'être industrialisé.
81;éolienne;"signée missCocow
Je réagis sur ""la voile n'a jamais..."". Les voiles modernes ne font que dévier le vent, tout comme les ailes d'avion et les pales d'éoliennes. Regardez les trajectoires des gars du Vendée Globe, elles montrent bien qu'ils évitent soigneusement de rester ""vent arrière"". Tout l'art du réglage consiste à obtenir un écoulement laminaire.
Sur ce, ce gars aurait effectivement dû ouvrir un bouquin avant de prétendre révolutionner la conception des éoliennes. Ce qui m'a le plus amusé, c'est qu'il dise que ses pales sont tenues par les deux bouts. Tenu par un fil de fer en porte à faux, oui. Mort de rire. JGh (d) 22 janvier 2009 à 23:31 (CET)[répondre]"
82;éolienne;"Je réagis sur ""la voile n'a jamais..."". Les voiles modernes ne font que dévier le vent, tout comme les ailes d'avion et les pales d'éoliennes. Regardez les trajectoires des gars du Vendée Globe, elles montrent bien qu'ils évitent soigneusement de rester ""vent arrière"". Tout l'art du réglage consiste à obtenir un écoulement laminaire."
83;éolienne;Sur ce, ce gars aurait effectivement dû ouvrir un bouquin avant de prétendre révolutionner la conception des éoliennes. Ce qui m'a le plus amusé, c'est qu'il dise que ses pales sont tenues par les deux bouts. Tenu par un fil de fer en porte à faux, oui. Mort de rire. JGh (d) 22 janvier 2009 à 23:31 (CET)[répondre]
84;éolienne;Suite à un ajout récent sur le sujet, j'ai porté le débat au bistro avant de m'apercevoir qu'il en avait été question ici...  Et bien, cela ne devait pas être le bon jour.  Je n'y ai trouvé personne pour comprendre que c'était n'importe quoi et que cela n'avait pas sa place dans une encyclopédie.  Cela me fait penser à Traité du zen et de l'entretien des motocyclettes où Robert M. Pirsig distingue les gens qui vivent dans un monde poétique romantique de ceux qui vivent dans le monde réel...  Selon moi, il faudrait retirer cette histoire ou (mieux?) l'inscrire dans un paragraphe sur les nombreux inventeurs d'éoliennes...  (@Christophe86, on peut la voir tourner ici, mais avec un vent pareil, on ferait tourner n'importe quoi). -- Xofc [me contacter] 9 juillet 2010 à 07:29 (CEST)[répondre]
85;éolienne;"Et ça ne tient pas compte de la diminution de la production d'énergie par les autres sources actuelles et donc de la diminution du réchauffement produit par ces autres sources. JGh qui propose la création de la Commission de déontologie de l'administration de Wikipedia (d) 10 juin 2010 à 21:49 (CEST)[répondre]
Quand je mange de la soupe et quelle est chaude, personnellement pour éviter de me brûler je souffle dessus.
et comme par magie, la température baisse.
Donc si je souffle pas, çà reste très chaud (lapalissade me direz vous ?)
Quand le principe d'une éolienne c'est de ralentir le vent au maximum (empêcher de souffler), le même principe s'applique, on empêche à la terre de se refroidir naturellement !
Erwan1972 (d) 18 juin 2010 à 11:28 (CEST)[répondre]
Donc la croute terrestre devrait voir sa température augmenter, mais l'atmosphère, refroidissant moins cette croute, devrait voir sa température globale baisser. Votre soupe en se refroidissant chauffe l'air de la pièce. Si la soupe garde sa chaleur, la pièce est moins chaude. Mais en fait je doute que l'on puisse comprendre le phénomène en s'en faisant une image simple. JGh qui propose la création de la Commission de déontologie de l'administration de Wikipedia (d) 9 juillet 2010 à 11:07 (CEST)[répondre]
Ce paragraphe (8.3 dans l'article principal), de même que le commentaire d'Erwan, sont absolument faux. L'énergie du vent provient essentiellement du soleil et la quantité d'énergie contenue dans l'air reste globalement a peu près constante, qu'il y ait des éoliennes ou pas. Localement, un éolienne freine le vent et produit en effet un réchauffement local. Mais si l'éolienne n'était pas la, la même quantité de chaleur serait dissipée ailleurs (par exemple par frottement sur le sol) par le vent un peu plus rapide qui en résulterait. Je suis pour la suppression pure et simple du paragraphe 8.3 qui a manifestement été écrit pas des ""ennemis des éolienne"" et qui ne recouvre aucune réalité scientifique.Serge boisse (d) 4 décembre 2010 à 09:16 (CET)[répondre]
J'ai quelle que connaissance scientifique, on peu toujours discuter (et en apprendre tous les jours). Je suis ouvert mais dire que mes propos sont absolument faux et donc soutenir que : quand on souffle sur la soupe chaude, elle ne se refroidit pas ! Je trouve que cela dénote une envie peu collaborative qui tiens plus du parti pris.
Or wiki n'est pas une tribune pour la promotion des industriels de l'éolien.
Cdt
Erwan1972 (d) 4 décembre 2010 à 13:27 (CET)[répondre]
J'ai beau chercher, je ne trouve pas qui a soutenu que ""la soupe ne se refroidit pas"". Quelqu'un a dit que ""Votre soupe en se refroidissant chauffe l'air de la pièce"". J'ai bien lu ""en se refroidissant"". Pas ""si elle se refroidissait"". Il a aussi dit que l'air de la pièce se réchauffait. Il faudrait avoir une ""envie peu collaborative"" pour le nier. Je continue de chercher. Amicalement.Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
86;éolienne;Quand je mange de la soupe et quelle est chaude, personnellement pour éviter de me brûler je souffle dessus.
87;éolienne;et comme par magie, la température baisse.
88;éolienne;Donc si je souffle pas, çà reste très chaud (lapalissade me direz vous ?)
89;éolienne;Quand le principe d'une éolienne c'est de ralentir le vent au maximum (empêcher de souffler), le même principe s'applique, on empêche à la terre de se refroidir naturellement !
90;éolienne;"Erwan1972 (d) 18 juin 2010 à 11:28 (CEST)[répondre]
Donc la croute terrestre devrait voir sa température augmenter, mais l'atmosphère, refroidissant moins cette croute, devrait voir sa température globale baisser. Votre soupe en se refroidissant chauffe l'air de la pièce. Si la soupe garde sa chaleur, la pièce est moins chaude. Mais en fait je doute que l'on puisse comprendre le phénomène en s'en faisant une image simple. JGh qui propose la création de la Commission de déontologie de l'administration de Wikipedia (d) 9 juillet 2010 à 11:07 (CEST)[répondre]"
91;éolienne;Donc la croute terrestre devrait voir sa température augmenter, mais l'atmosphère, refroidissant moins cette croute, devrait voir sa température globale baisser. Votre soupe en se refroidissant chauffe l'air de la pièce. Si la soupe garde sa chaleur, la pièce est moins chaude. Mais en fait je doute que l'on puisse comprendre le phénomène en s'en faisant une image simple. JGh qui propose la création de la Commission de déontologie de l'administration de Wikipedia (d) 9 juillet 2010 à 11:07 (CEST)[répondre]
92;éolienne;"Ce paragraphe (8.3 dans l'article principal), de même que le commentaire d'Erwan, sont absolument faux. L'énergie du vent provient essentiellement du soleil et la quantité d'énergie contenue dans l'air reste globalement a peu près constante, qu'il y ait des éoliennes ou pas. Localement, un éolienne freine le vent et produit en effet un réchauffement local. Mais si l'éolienne n'était pas la, la même quantité de chaleur serait dissipée ailleurs (par exemple par frottement sur le sol) par le vent un peu plus rapide qui en résulterait. Je suis pour la suppression pure et simple du paragraphe 8.3 qui a manifestement été écrit pas des ""ennemis des éolienne"" et qui ne recouvre aucune réalité scientifique.Serge boisse (d) 4 décembre 2010 à 09:16 (CET)[répondre]
J'ai quelle que connaissance scientifique, on peu toujours discuter (et en apprendre tous les jours). Je suis ouvert mais dire que mes propos sont absolument faux et donc soutenir que : quand on souffle sur la soupe chaude, elle ne se refroidit pas ! Je trouve que cela dénote une envie peu collaborative qui tiens plus du parti pris.
Or wiki n'est pas une tribune pour la promotion des industriels de l'éolien.
Cdt
Erwan1972 (d) 4 décembre 2010 à 13:27 (CET)[répondre]
J'ai beau chercher, je ne trouve pas qui a soutenu que ""la soupe ne se refroidit pas"". Quelqu'un a dit que ""Votre soupe en se refroidissant chauffe l'air de la pièce"". J'ai bien lu ""en se refroidissant"". Pas ""si elle se refroidissait"". Il a aussi dit que l'air de la pièce se réchauffait. Il faudrait avoir une ""envie peu collaborative"" pour le nier. Je continue de chercher. Amicalement.Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
93;éolienne;J'ai quelle que connaissance scientifique, on peu toujours discuter (et en apprendre tous les jours). Je suis ouvert mais dire que mes propos sont absolument faux et donc soutenir que : quand on souffle sur la soupe chaude, elle ne se refroidit pas ! Je trouve que cela dénote une envie peu collaborative qui tiens plus du parti pris.
94;éolienne;Or wiki n'est pas une tribune pour la promotion des industriels de l'éolien.
95;éolienne;Cdt
96;éolienne;"Erwan1972 (d) 4 décembre 2010 à 13:27 (CET)[répondre]
J'ai beau chercher, je ne trouve pas qui a soutenu que ""la soupe ne se refroidit pas"". Quelqu'un a dit que ""Votre soupe en se refroidissant chauffe l'air de la pièce"". J'ai bien lu ""en se refroidissant"". Pas ""si elle se refroidissait"". Il a aussi dit que l'air de la pièce se réchauffait. Il faudrait avoir une ""envie peu collaborative"" pour le nier. Je continue de chercher. Amicalement.Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
97;éolienne;"J'ai beau chercher, je ne trouve pas qui a soutenu que ""la soupe ne se refroidit pas"". Quelqu'un a dit que ""Votre soupe en se refroidissant chauffe l'air de la pièce"". J'ai bien lu ""en se refroidissant"". Pas ""si elle se refroidissait"". Il a aussi dit que l'air de la pièce se réchauffait. Il faudrait avoir une ""envie peu collaborative"" pour le nier. Je continue de chercher. Amicalement.Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
98;éolienne;"Je suis surpris que personne ici ne parle des sources. Ce n'est pas en faisant des métaphores sur la soupe ou en affirmant que cela ""n'a aucune réalité scientifique"" que on peut faire avancer la question, mais en citant des sources de qualité. Le passage en question est sourcé, et pas mal sourcé (MIT). Si d'autres sources viennent contredire cette étude du MIT, il faut les citer. En attendant, je pense qu'il est possible de neutraliser ce passage en présentant cela non comme une vérité absolue et reconnue (pour le moment, c'est mono-sourcé, et c'est sûrement contestable/contesté), mais en l'attribuant au MIT (selon..) --Jean-Christophe BENOIST (d) 4 décembre 2010 à 14:56 (CET)[répondre]
Prendre des exemples peut être réducteur alors pour les anglophones autant prendre les infos à la source,
article du MIT (USA) dont la version est à [1]
Côté fond il me parait évident qu'une éolienne à un impact sur l'environnement : cuivre, arbre abattu, vent perturbé etc supprimer cette évidence alors que l'on a un article des plus sérieux d'un centre de recherche des plus prestigieux au monde (ici sur l'impact climatique).
cdt
Erwan1972 (d) 4 décembre 2010 à 15:23 (CET)[répondre]
J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
99;éolienne;"Je suis surpris que personne ici ne parle des sources. Ce n'est pas en faisant des métaphores sur la soupe ou en affirmant que cela ""n'a aucune réalité scientifique"" que on peut faire avancer la question, mais en citant des sources de qualité. Le passage en question est sourcé, et pas mal sourcé (MIT). Si d'autres sources viennent contredire cette étude du MIT, il faut les citer. En attendant, je pense qu'il est possible de neutraliser ce passage en présentant cela non comme une vérité absolue et reconnue (pour le moment, c'est mono-sourcé, et c'est sûrement contestable/contesté), mais en l'attribuant au MIT (selon..) --Jean-Christophe BENOIST (d) 4 décembre 2010 à 14:56 (CET)[répondre]
Prendre des exemples peut être réducteur alors pour les anglophones autant prendre les infos à la source,
article du MIT (USA) dont la version est à [1]
Côté fond il me parait évident qu'une éolienne à un impact sur l'environnement : cuivre, arbre abattu, vent perturbé etc supprimer cette évidence alors que l'on a un article des plus sérieux d'un centre de recherche des plus prestigieux au monde (ici sur l'impact climatique).
cdt
Erwan1972 (d) 4 décembre 2010 à 15:23 (CET)[répondre]
J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
100;éolienne;"Je suis surpris que personne ici ne parle des sources. Ce n'est pas en faisant des métaphores sur la soupe ou en affirmant que cela ""n'a aucune réalité scientifique"" que on peut faire avancer la question, mais en citant des sources de qualité. Le passage en question est sourcé, et pas mal sourcé (MIT). Si d'autres sources viennent contredire cette étude du MIT, il faut les citer. En attendant, je pense qu'il est possible de neutraliser ce passage en présentant cela non comme une vérité absolue et reconnue (pour le moment, c'est mono-sourcé, et c'est sûrement contestable/contesté), mais en l'attribuant au MIT (selon..) --Jean-Christophe BENOIST (d) 4 décembre 2010 à 14:56 (CET)[répondre]
Prendre des exemples peut être réducteur alors pour les anglophones autant prendre les infos à la source,
article du MIT (USA) dont la version est à [1]
Côté fond il me parait évident qu'une éolienne à un impact sur l'environnement : cuivre, arbre abattu, vent perturbé etc supprimer cette évidence alors que l'on a un article des plus sérieux d'un centre de recherche des plus prestigieux au monde (ici sur l'impact climatique).
cdt
Erwan1972 (d) 4 décembre 2010 à 15:23 (CET)[répondre]
J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
101;éolienne;"Je suis surpris que personne ici ne parle des sources. Ce n'est pas en faisant des métaphores sur la soupe ou en affirmant que cela ""n'a aucune réalité scientifique"" que on peut faire avancer la question, mais en citant des sources de qualité. Le passage en question est sourcé, et pas mal sourcé (MIT). Si d'autres sources viennent contredire cette étude du MIT, il faut les citer. En attendant, je pense qu'il est possible de neutraliser ce passage en présentant cela non comme une vérité absolue et reconnue (pour le moment, c'est mono-sourcé, et c'est sûrement contestable/contesté), mais en l'attribuant au MIT (selon..) --Jean-Christophe BENOIST (d) 4 décembre 2010 à 14:56 (CET)[répondre]
Prendre des exemples peut être réducteur alors pour les anglophones autant prendre les infos à la source,
article du MIT (USA) dont la version est à [1]
Côté fond il me parait évident qu'une éolienne à un impact sur l'environnement : cuivre, arbre abattu, vent perturbé etc supprimer cette évidence alors que l'on a un article des plus sérieux d'un centre de recherche des plus prestigieux au monde (ici sur l'impact climatique).
cdt
Erwan1972 (d) 4 décembre 2010 à 15:23 (CET)[répondre]
J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
102;éolienne;Prendre des exemples peut être réducteur alors pour les anglophones autant prendre les infos à la source,
103;éolienne;article du MIT (USA) dont la version est à [1]
104;éolienne;Côté fond il me parait évident qu'une éolienne à un impact sur l'environnement : cuivre, arbre abattu, vent perturbé etc supprimer cette évidence alors que l'on a un article des plus sérieux d'un centre de recherche des plus prestigieux au monde (ici sur l'impact climatique).
105;éolienne;cdt
106;éolienne;"Erwan1972 (d) 4 décembre 2010 à 15:23 (CET)[répondre]
J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]"
107;éolienne;J'ai cité les études les plus connues et les plus récentes, toutes basées sur des modélisations. Il semble qu'il n'y ait pas encore d'études fondées sur des mesures réelles. Toutes ou presque (en particulier celle du MIT) reconnaissent que leurs résultats ne sont pas très fiables et dépendent pour beaucoup de la stratégie de modélisation et des hypothèses faites. Leur principal intérêt est de montrer que l'impact climatique de très grands parcs d'éoliennes peut ne pas être négligeable et peut compenser au moins en partie les effets de l'abandon de sources alternatives d'énergie. Bon vent à tous. Touchatou (d) 5 décembre 2010 à 12:42 (CET)[répondre]
108;éolienne;"En général, on ne qualifie pas une telle faute de « faute d'orthographe » mais de « faute de frappe », ou alors c'est vraiment prendre les gens pour des imbéciles, comme le laisse supposer ce commentaire. La page est semi-protégée parce qu'elle souffre de vandalisme excessif, comme on peut s'en rendre compte en consultant son historique. Les différents moyens pour pouvoir intervenir sur une page semi-protégée sont décrits sur cette page. Dans tous les cas, invectiver les autres utilisateurs et critiquer l'encyclopédie est certainement la plus mauvaise méthode. Skippy le Grand Gourou (d) 2 août 2010 à 12:21 (CEST)[répondre]
En fait quelqu'un a remplacé, en mai, toutes les occurrences de ""éolienne"" par ""éolien"". Quelqu'un a corrigé la première occurrence sans changer le déterminant. En l'absence de toute justification, comme le terme ne semble pas franchement utilisé et que le titre de l'article est Éolienne, j'ai tout annulé. Orlodrim [discuter] 2 août 2010 à 12:27 (CEST)[répondre]
Une bonne chose de faite. Skiff (d) 2 août 2010 à 20:16 (CEST)[répondre]"
109;éolienne;"En fait quelqu'un a remplacé, en mai, toutes les occurrences de ""éolienne"" par ""éolien"". Quelqu'un a corrigé la première occurrence sans changer le déterminant. En l'absence de toute justification, comme le terme ne semble pas franchement utilisé et que le titre de l'article est Éolienne, j'ai tout annulé. Orlodrim [discuter] 2 août 2010 à 12:27 (CEST)[répondre]
Une bonne chose de faite. Skiff (d) 2 août 2010 à 20:16 (CEST)[répondre]"
110;éolienne;Une bonne chose de faite. Skiff (d) 2 août 2010 à 20:16 (CEST)[répondre]
111;éolienne;immense et rouge
112;éolienne;200m de haut, c'est la Tour Montparnasse à la campagne
113;éolienne;cdt
114;éolienne;Erwan1972 (d) 15 septembre 2010 à 18:05 (CEST)[répondre]
115;éolienne;Ha bon, un article pro-éolien serait plus neutre  !
116;éolienne;cdt
117;éolienne;Erwan1972 (d) 23 mars 2011 à 20:10 (CET)[répondre]
118;éolienne;pourquoi avoir mis ces infos en pdd et pas directement dans l'article ?
119;éolienne;je trouve çà dommage !
120;éolienne;"cdt Erwan1972 (d) 29 mars 2011 à 20:14 (CEST)[répondre]
Effectivement, mais la page est semi-protégée et cela veut dire que seuls les utilisateurs enregistrés depuis plus de quatre jours peuvent la modifier ... je dois donc encore attendre 3 jours pour pouvoir le faire (newbie inside ;o) )
Je dois bien avouer que ce n'est que maintenant que j'ai regardé ce que voulait dire ""semi-protégée"" ... je pensais que c'était restreint à un groupe particulier.
De plus, ne maîtrisant pas encore les règles de Wikipedia, je ne suis pas certain que les liens externes que j'ai donné ne sont pas un peu trop ""commerciaux"". Un avis là dessus?
Yoritomo001 (d) 30 mars 2011 à 10:38 (CEST)[répondre]
72 heures, une éternité dans une vie 
bienvenue et bonne contribution
cdt Erwan1972 (d) 30 mars 2011 à 15:45 (CEST)[répondre]"
121;éolienne;"Effectivement, mais la page est semi-protégée et cela veut dire que seuls les utilisateurs enregistrés depuis plus de quatre jours peuvent la modifier ... je dois donc encore attendre 3 jours pour pouvoir le faire (newbie inside ;o) )"
122;éolienne;"Je dois bien avouer que ce n'est que maintenant que j'ai regardé ce que voulait dire ""semi-protégée"" ... je pensais que c'était restreint à un groupe particulier."
123;éolienne;"De plus, ne maîtrisant pas encore les règles de Wikipedia, je ne suis pas certain que les liens externes que j'ai donné ne sont pas un peu trop ""commerciaux"". Un avis là dessus?"
124;éolienne;"Yoritomo001 (d) 30 mars 2011 à 10:38 (CEST)[répondre]
72 heures, une éternité dans une vie 
bienvenue et bonne contribution
cdt Erwan1972 (d) 30 mars 2011 à 15:45 (CEST)[répondre]"
125;éolienne;72 heures, une éternité dans une vie 
126;éolienne;bienvenue et bonne contribution
127;éolienne;cdt Erwan1972 (d) 30 mars 2011 à 15:45 (CEST)[répondre]
128;éolienne;Éolienne#Critiques --Jean-Christophe BENOIST (d) 31 mars 2011 à 23:46 (CEST)[répondre]
129;éolienne;"Faudra peut être proposer un plan d'article (séparé?) pour lancer la discussion, car j'ai pu constater que l'article était un peu sensible (sujet à des reverts). En tout cas si tu peux rajouter un topo sur çà, je t'en serais reconaissant. Skiff (d) 21 juin 2011 à 21:56 (CEST)[répondre]
il est vrai que la partie technique et peu développé (quoi que)
comme l’éolien dépend plus de assas que de jussieu, il est probable qu'un article séparer sur les techniques financières soit dès trop spécialisées.
mais comme wiki est une encyclopédie spécialisé comme généraliste, pourquoi pas.
cdt
Erwan1972 (d) 22 juin 2011 à 11:57 (CEST)[répondre]
Bonjour. Il y a effectivement deux articles ""énergie éolienne"" et ""éolienne"". Certains  aspects sont certes redondants entre les deux articles, mais avant tout, selon mon point de vue, il y a sur certains aspects confusion des genres. Dès lors que l'on parle de puissance installée dans tel ou tel pays, on est dans l'industrie avec des constructeurs, des exploitants et des distributeurs. Il y a des conditions du marché, un prix de l'éolien, etc. Ainsi par parallélisme avec le nucléaire, je pense qu'il conviendrait d'avoir trois articles : ""énergie éolienne"" (axé sur les principes et problématiques énergétiques : positionnement de l'éolien dans le bilan énergétique des différents pays), ""éolienne"" (techniques anciennes, actuelles et futures des éoliennes) et surtout ""industrie éolienne"" (opérateurs, acteurs institutionnels, prix, marché, applications, éolien en mer, réglementation, coordinations multilatérales ou internationale, etc). Cordialement.Roland45 (d) 26 juin 2011 à 11:49 (CEST)[répondre]
D'accord avec toi Rolland45. Grand débutant, j'ai retouché hier toute une section sur la production électrique et je me rends compte aujourd'hui que l'article ""énergie éolienne"" ressemble beaucoup à ""éolienne"". Où mettre l'info alors ?
L'organisation que tu proposes me plaît bien, mais comme je suis débutant je sais pas comment vous procédez pour faire ce genre de modifs. Changement en direct au fur et à mesure, pages brouillons en attendant d'avoir un résultat correct, bandeaux pour avertir du travail en cours ?
La finalité c'est, est-ce que mon travail sera efficace et utile si j'organise seulement une partie (ou un aspect) de ces articles de la façon dont tu le proposes ? Vu la taille des articles, je me vois mal les reprendre entièrement, même sur du long terme.
--Thibault Lemaitre (d) 5 août 2011 à 20:36 (CEST)[répondre]
Bonjour, je suis le sujet de loin, néanmois je te fais part de ma vision. Si tu souhaites réorganiser les articles, je pense que le plus simple serait de proposer dans un brouillon, le plan des 3 articles que tu proposes de modifier/réorganiser afin d'avoir des avis critiques et constructif, au lieu de te lancer pas à pas dans une réorganisation qui sera mis à mal par des reverts. De plus cela permettrait à tous d'avoir une vue d'ensemble des 3 articles. Skiff (d) 6 août 2011 à 06:54 (CEST)[répondre]
Merci pour l'info, je me doutais un peu de la réponse et vu la charge de travail que ça représente je ne vais pas m'en occuper pour le moment (même si un gros tri serait bien nécessaire).--Thibault Lemaitre (d) 6 août 2011 à 12:58 (CEST)[répondre]"
130;éolienne;il est vrai que la partie technique et peu développé (quoi que)
131;éolienne;comme l’éolien dépend plus de assas que de jussieu, il est probable qu'un article séparer sur les techniques financières soit dès trop spécialisées.
132;éolienne;mais comme wiki est une encyclopédie spécialisé comme généraliste, pourquoi pas.
133;éolienne;cdt
